ID,Date,Localisation à Montréal,Secteur d'activité de l'entreprise,Nombre d'employés de l'entreprise au 1er mars 2020,Sujet de la demande: Soutien financier,Sujet de la demande: Maintien des opérations,Sujet de la demande: Fiscalité (taxes et impôts),Sujet de la demande: Ressources humaines,Sujet de la demande: Réglementation,Sujet de la demande: Marketing,Sujet de la demande: Santé et sécurité,Source de la demande,Arrondissement ou ville liée
71,2020-03-23,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Téléphone,Ahuntsic–Cartierville
72,2020-03-27,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Téléphone,Ville-Marie
73,2020-03-24,Oui,Commerce de gros,1 à 4 employés,Soutien financier,Maintien des opérations,,Ressources humaines,Réglementation,,,Téléphone,Le Plateau-Mont-Royal
74,2020-03-23,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Téléphone,Ville-Marie
76,2020-03-25,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Saint-Léonard
1109,2020-03-20,Oui,"Arts, spectacles et loisirs",1 à 4 employés,Soutien financier,,Fiscalité (taxes et impôts),,,,,Formulaire,Ville-Marie
1317,2020-03-20,Oui,Autres,Taille inconnue,Soutien financier,,,,,,,Formulaire,Villeray–Saint-Michel–Parc-Extension
79,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
80,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
81,2020-03-23,Localisation inconnue,Inconnu,Taille inconnue,,,,,,,Santé et sécurité,Téléphone,Inconnu(e)
1318,2020-03-20,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Formulaire,LaSalle
83,2020-03-20,Non,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Répondeur,Hors Montréal
84,2020-03-20,Localisation inconnue,Inconnu,Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
85,2020-03-23,Localisation inconnue,Construction,Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
86,2020-03-24,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
87,2020-03-24,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1319,2020-03-20,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Verdun
89,2020-03-23,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
90,2020-03-25,Localisation inconnue,Fabrication,Taille inconnue,,,,,Réglementation,,,Téléphone,Inconnu(e)
652,2020-03-24,Localisation inconnue,Inconnu,Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Formulaire,Inconnu(e)
92,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,Réglementation,,,Téléphone,Inconnu(e)
93,2020-03-20,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
94,2020-03-20,Localisation inconnue,Transport et entreposage,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
653,2020-03-20,Oui,Autres,1 à 4 employés,,,Fiscalité (taxes et impôts),,,,,Formulaire,Le Plateau-Mont-Royal
96,2020-03-25,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
97,2020-03-23,Oui,"Arts, spectacles et loisirs",5 à 24 employés,Soutien financier,,,,,,,Téléphone,Saint-Léonard
98,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,,,,,,,,Répondeur,Inconnu(e)
99,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1320,2020-03-20,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
101,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
104,2020-03-23,Localisation inconnue,Fabrication,Taille inconnue,,,,,Réglementation,,,Répondeur,Inconnu(e)
105,2020-03-23,Localisation inconnue,Fabrication,Taille inconnue,,,,,Réglementation,,,Répondeur,Inconnu(e)
106,2020-03-24,Localisation inconnue,Commerce de détail,Taille inconnue,,,,,Réglementation,,,Téléphone,Inconnu(e)
107,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
108,2020-03-20,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
109,2020-03-27,Localisation inconnue,"Arts, spectacles et loisirs",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
110,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,Maintien des opérations,Fiscalité (taxes et impôts),Ressources humaines,Réglementation,,,Répondeur,Inconnu(e)
111,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,Maintien des opérations,Fiscalité (taxes et impôts),Ressources humaines,Réglementation,,,Répondeur,Inconnu(e)
1323,2020-03-20,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Rosemont–La Petite-Patrie
113,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
114,2020-03-23,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
48,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
116,2020-03-20,Localisation inconnue,Autres,Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
117,2020-03-23,Localisation inconnue,Services d’hébergement,Taille inconnue,,,,,,,,Répondeur,Inconnu(e)
118,2020-03-23,Localisation inconnue,"Arts, spectacles et loisirs",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
119,2020-03-24,Localisation inconnue,Services d’hébergement,Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
120,2020-03-24,Localisation inconnue,Commerce de gros,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
121,2020-03-23,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1324,2020-03-20,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Formulaire,Westmount
1325,2020-03-20,Oui,Autres,Taille inconnue,Soutien financier,,,,,,,Formulaire,Westmount
124,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
125,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
126,2020-03-20,Oui,Autres,1 à 4 employés,,,,,,,,Téléphone,Rosemont–La Petite-Patrie
127,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
128,2020-03-20,Localisation inconnue,"Arts, spectacles et loisirs",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
129,2020-03-20,Localisation inconnue,"Arts, spectacles et loisirs",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
130,2020-03-23,Localisation inconnue,Industrie de l’information et culturelle,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
131,2020-03-26,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
132,2020-03-25,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
133,2020-03-27,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1326,2020-03-20,Oui,"Arts, spectacles et loisirs",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Sud-Ouest
135,2020-03-20,Localisation inconnue,Inconnu,Taille inconnue,Soutien financier,Maintien des opérations,Fiscalité (taxes et impôts),Ressources humaines,Réglementation,,,Répondeur,Inconnu(e)
136,2020-03-20,Localisation inconnue,Inconnu,Taille inconnue,Soutien financier,Maintien des opérations,Fiscalité (taxes et impôts),Ressources humaines,Réglementation,,,Répondeur,Inconnu(e)
560,2020-03-20,Localisation inconnue,Commerce de gros,Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Formulaire,Inconnu(e)
138,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
139,2020-03-20,Localisation inconnue,Commerce de détail,Taille inconnue,,,,,,,,Téléphone,Inconnu(e)
775,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Formulaire,Inconnu(e)
141,2020-03-23,Localisation inconnue,Fabrication,Taille inconnue,,,,,Réglementation,,,Répondeur,Inconnu(e)
142,2020-03-24,Localisation inconnue,Commerce de détail,Taille inconnue,,,,Ressources humaines,Réglementation,,,Téléphone,Inconnu(e)
143,2020-03-23,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,Maintien des opérations,,Ressources humaines,,Marketing,,Téléphone,Inconnu(e)
145,2020-03-20,Non,Autres,1 à 4 employés,Soutien financier,Maintien des opérations,,,,,,Téléphone,Hors Montréal
146,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
147,2020-03-24,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1327,2020-03-20,Oui,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Formulaire,Ville-Marie
149,2020-03-23,Localisation inconnue,Inconnu,Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
150,2020-03-23,Localisation inconnue,Inconnu,Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
527,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Formulaire,Inconnu(e)
154,2020-03-20,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
155,2020-03-27,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1087,2020-03-20,Localisation inconnue,Inconnu,Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
157,2020-03-25,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
158,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
159,2020-03-20,Localisation inconnue,Inconnu,Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Répondeur,Inconnu(e)
160,2020-03-20,Localisation inconnue,Inconnu,Taille inconnue,Soutien financier,Maintien des opérations,Fiscalité (taxes et impôts),Ressources humaines,,,,Répondeur,Inconnu(e)
1328,2020-03-20,Non,Autres,Taille inconnue,Soutien financier,,,,,,,Formulaire,Hors Montréal
1368,2020-03-20,Oui,Commerce de détail,Taille inconnue,,,,,,,,Formulaire,Verdun
163,2020-03-24,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1329,2020-03-20,Oui,Inconnu,Taille inconnue,Soutien financier,,,,,,,Formulaire,Pierrefonds-Roxboro
1330,2020-03-20,Oui,Construction,Taille inconnue,Soutien financier,,,,,,,Formulaire,Le Sud-Ouest
166,2020-03-20,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
167,2020-03-20,Localisation inconnue,"Arts, spectacles et loisirs",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
168,2020-03-24,Localisation inconnue,Commerce de gros,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
169,2020-03-24,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
170,2020-03-24,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
171,2020-03-26,Oui,Construction,Taille inconnue,,,,,Réglementation,,,Téléphone,Montréal-Nord
172,2020-03-23,Localisation inconnue,Transport et entreposage,Taille inconnue,,,,,Réglementation,,,Téléphone,Inconnu(e)
173,2020-03-24,Localisation inconnue,"Arts, spectacles et loisirs",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1331,2020-03-20,Oui,Restauration et bar,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Ville-Marie
1332,2020-03-20,Oui,"Arts, spectacles et loisirs",Taille inconnue,Soutien financier,,,,,,,Formulaire,Saint-Léonard
176,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
177,2020-03-26,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
178,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,,Maintien des opérations,,Ressources humaines,,,,Répondeur,Inconnu(e)
179,2020-03-23,Localisation inconnue,Inconnu,Taille inconnue,,,,,,,,Répondeur,Inconnu(e)
180,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,,Maintien des opérations,,Ressources humaines,,,,Répondeur,Inconnu(e)
424,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,,,,Ressources humaines,,,,Formulaire,Inconnu(e)
1333,2020-03-20,Oui,Autres,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Saint-Laurent
183,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,,,,,,,,Répondeur,Inconnu(e)
184,2020-03-20,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
185,2020-03-25,Localisation inconnue,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
186,2020-03-23,Non,Autres,1 à 4 employés,Soutien financier,,,,,,,Répondeur,Hors Montréal
187,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Inconnu(e)
188,2020-03-24,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1334,2020-03-20,Oui,Inconnu,Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
190,2020-03-20,Localisation inconnue,Construction,Taille inconnue,Soutien financier,Maintien des opérations,Fiscalité (taxes et impôts),Ressources humaines,Réglementation,,,Répondeur,Inconnu(e)
191,2020-03-23,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Répondeur,Rosemont–La Petite-Patrie
1335,2020-03-20,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Ville-Marie
193,2020-03-25,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
194,2020-03-25,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Répondeur,Inconnu(e)
195,2020-03-23,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
196,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
197,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,Réglementation,,,Répondeur,Inconnu(e)
